Discipline	Season	Year	Event	Gender	Results	Prompt
Indoor Volleyball	Summer	1988	Indoor Volleyball	Women	Gold: URS, Silver: PER, Bronze: CHN	Who won the medals in the Women's Indoor Volleyball event at the 1988 olympic games?
Rowing	Summer	1988	Quadruple Sculls	Men	Gold: ITA, Silver: NOR, Bronze: GDR	Who won the medals in the Men's Rowing Quadruple Sculls event at the 1988 olympic games?
Rowing	Summer	1988	Quadruple Sculls	Women	Gold: GDR, Silver: URS, Bronze: ROU	Who won the medals in the Women's Rowing Quadruple Sculls event at the 1988 olympic games?
Archery	Summer	1988	Team	Men	Gold: KOR, Silver: USA, Bronze: GBR	Who won the medals in the Men's Archery Team event at the 1988 olympic games?
Archery	Summer	1988	Team	Women	Gold: KOR, Silver: INA, Bronze: USA	Who won the medals in the Women's Archery Team event at the 1988 olympic games?
Artistic Gymnastics	Summer	1988	Team All-Around	Men	Gold: URS, Silver: GDR, Bronze: JPN	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 1988 olympic games?
Artistic Gymnastics	Summer	1988	Team All-Around	Women	Gold: URS, Silver: ROU, Bronze: GDR	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 1988 olympic games?
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Men	Gold: USA, Silver: EUN, Bronze: GER	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Women	Gold: USA, Silver: CHN, Bronze: GER	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: EUN, Bronze: CAN	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Medley Relay	Women	Gold: USA, Silver: GER, Bronze: EUN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 100 metres Relay	Men	Gold: USA, Silver: NGR, Bronze: CUB	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 100 metres Relay	Women	Gold: USA, Silver: EUN, Bronze: NGR	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 400 metres Relay	Men	Gold: USA, Silver: CUB, Bronze: GBR	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 400 metres Relay	Women	Gold: EUN, Silver: USA, Bronze: GBR	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 1992 olympic games?
Basketball	Summer	1992	Basketball	Men	Gold: USA, Silver: CRO, Bronze: LTU	Who won the medals in the Men's Basketball event at the 1992 olympic games?
Basketball	Summer	1992	Basketball	Women	Gold: EUN, Silver: CHN, Bronze: USA	Who won the medals in the Women's Basketball event at the 1992 olympic games?
Rowing	Summer	1992	Coxed Eights	Men	Gold: CAN, Silver: ROU, Bronze: GER	Who won the medals in the Men's Rowing Coxed Eights event at the 1992 olympic games?
Rowing	Summer	1992	Coxed Eights	Women	Gold: CAN, Silver: ROU, Bronze: GER	Who won the medals in the Women's Rowing Coxed Eights event at the 1992 olympic games?
Rowing	Summer	1992	Coxless Fours	Men	Gold: AUS, Silver: USA, Bronze: SLO	Who won the medals in the Men's Rowing Coxless Fours event at the 1992 olympic games?
Rowing	Summer	1992	Coxless Fours	Women	Gold: CAN, Silver: USA, Bronze: GER	Who won the medals in the Women's Rowing Coxless Fours event at the 1992 olympic games?
Field Hockey	Summer	1992	Field Hockey	Men	Gold: GER, Silver: AUS, Bronze: PAK	Who won the medals in the Men's Field Hockey event at the 1992 olympic games?
Field Hockey	Summer	1992	Field Hockey	Women	Gold: ESP, Silver: GER, Bronze: GBR	Who won the medals in the Women's Field Hockey event at the 1992 olympic games?
Fencing	Summer	1992	Foil, Team	Men	Gold: GER, Silver: CUB, Bronze: POL	Who won the medals in the Men's Fencing Foil, Team event at the 1992 olympic games?
Fencing	Summer	1992	Foil, Team	Women	Gold: ITA, Silver: GER, Bronze: ROU	Who won the medals in the Women's Fencing Foil, Team event at the 1992 olympic games?
Handball	Summer	1992	Handball	Men	Gold: EUN, Silver: SWE, Bronze: FRA	Who won the medals in the Men's Handball event at the 1992 olympic games?
Handball	Summer	1992	Handball	Women	Gold: KOR, Silver: NOR, Bronze: EUN	Who won the medals in the Women's Handball event at the 1992 olympic games?
Indoor Volleyball	Summer	1992	Indoor Volleyball	Men	Gold: BRA, Silver: NED, Bronze: USA	Who won the medals in the Men's Indoor Volleyball event at the 1992 olympic games?
Indoor Volleyball	Summer	1992	Indoor Volleyball	Women	Gold: CUB, Silver: EUN, Bronze: USA	Who won the medals in the Women's Indoor Volleyball event at the 1992 olympic games?
Rowing	Summer	1992	Quadruple Sculls	Men	Gold: GER, Silver: NOR, Bronze: ITA	Who won the medals in the Men's Rowing Quadruple Sculls event at the 1992 olympic games?
Rowing	Summer	1992	Quadruple Sculls	Women	Gold: GER, Silver: ROU, Bronze: EUN	Who won the medals in the Women's Rowing Quadruple Sculls event at the 1992 olympic games?
Archery	Summer	1992	Team	Men	Gold: ESP, Silver: FIN, Bronze: GBR	Who won the medals in the Men's Archery Team event at the 1992 olympic games?
Archery	Summer	1992	Team	Women	Gold: KOR, Silver: CHN, Bronze: EUN	Who won the medals in the Women's Archery Team event at the 1992 olympic games?
Artistic Gymnastics	Summer	1992	Team All-Around	Men	Gold: EUN, Silver: CHN, Bronze: JPN	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 1992 olympic games?
Artistic Gymnastics	Summer	1992	Team All-Around	Women	Gold: EUN, Silver: ROU, Bronze: USA	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 1992 olympic games?
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Men	Gold: GER, Silver: RUS, Bronze: FRA	Who won the medals in the Men's Biathlon 4 x 7.5 kilometres Relay event at the 1994 olympic games?
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Women	Gold: RUS, Silver: GER, Bronze: FRA	Who won the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event at the 1994 olympic games?
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Men	Gold: USA, Silver: RUS, Bronze: GER	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Women	Gold: USA, Silver: CHN, Bronze: GER	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: RUS, Bronze: AUS	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Medley Relay	Women	Gold: USA, Silver: AUS, Bronze: CHN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 100 metres Relay	Men	Gold: CAN, Silver: USA, Bronze: BRA	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 100 metres Relay	Women	Gold: USA, Silver: BAH, Bronze: JAM	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Men	Gold: USA, Silver: SWE, Bronze: GER	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Women	Gold: USA, Silver: GER, Bronze: AUS	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 400 metres Relay	Men	Gold: USA, Silver: GBR, Bronze: JAM	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 400 metres Relay	Women	Gold: USA, Silver: NGR, Bronze: GER	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 1996 olympic games?
Basketball	Summer	1996	Basketball	Men	Gold: USA, Silver: SCG, Bronze: LTU	Who won the medals in the Men's Basketball event at the 1996 olympic games?
Basketball	Summer	1996	Basketball	Women	Gold: USA, Silver: BRA, Bronze: AUS	Who won the medals in the Women's Basketball event at the 1996 olympic games?
Rowing	Summer	1996	Coxed Eights	Men	Gold: NED, Silver: GER, Bronze: RUS	Who won the medals in the Men's Rowing Coxed Eights event at the 1996 olympic games?
Rowing	Summer	1996	Coxed Eights	Women	Gold: ROU, Silver: CAN, Bronze: BLR	Who won the medals in the Women's Rowing Coxed Eights event at the 1996 olympic games?
Field Hockey	Summer	1996	Field Hockey	Men	Gold: NED, Silver: ESP, Bronze: AUS	Who won the medals in the Men's Field Hockey event at the 1996 olympic games?
Field Hockey	Summer	1996	Field Hockey	Women	Gold: AUS, Silver: KOR, Bronze: NED	Who won the medals in the Women's Field Hockey event at the 1996 olympic games?
Fencing	Summer	1996	Foil, Team	Men	Gold: RUS, Silver: POL, Bronze: CUB	Who won the medals in the Men's Fencing Foil, Team event at the 1996 olympic games?
Fencing	Summer	1996	Foil, Team	Women	Gold: ITA, Silver: ROU, Bronze: GER	Who won the medals in the Women's Fencing Foil, Team event at the 1996 olympic games?
Football	Summer	1996	Football	Men	Gold: NGR, Silver: ARG, Bronze: BRA	Who won the medals in the Men's Football event at the 1996 olympic games?
Football	Summer	1996	Football	Women	Gold: USA, Silver: CHN, Bronze: NOR	Who won the medals in the Women's Football event at the 1996 olympic games?
Handball	Summer	1996	Handball	Men	Gold: CRO, Silver: SWE, Bronze: ESP	Who won the medals in the Men's Handball event at the 1996 olympic games?
Handball	Summer	1996	Handball	Women	Gold: DEN, Silver: KOR, Bronze: HUN	Who won the medals in the Women's Handball event at the 1996 olympic games?
Indoor Volleyball	Summer	1996	Indoor Volleyball	Men	Gold: NED, Silver: ITA, Bronze: SCG	Who won the medals in the Men's Indoor Volleyball event at the 1996 olympic games?
Indoor Volleyball	Summer	1996	Indoor Volleyball	Women	Gold: CUB, Silver: CHN, Bronze: BRA	Who won the medals in the Women's Indoor Volleyball event at the 1996 olympic games?
Rowing	Summer	1996	Quadruple Sculls	Men	Gold: GER, Silver: USA, Bronze: AUS	Who won the medals in the Men's Rowing Quadruple Sculls event at the 1996 olympic games?
Rowing	Summer	1996	Quadruple Sculls	Women	Gold: GER, Silver: UKR, Bronze: CAN	Who won the medals in the Women's Rowing Quadruple Sculls event at the 1996 olympic games?
Archery	Summer	1996	Team	Men	Gold: USA, Silver: KOR, Bronze: ITA	Who won the medals in the Men's Archery Team event at the 1996 olympic games?
Archery	Summer	1996	Team	Women	Gold: KOR, Silver: GER, Bronze: POL	Who won the medals in the Women's Archery Team event at the 1996 olympic games?
Artistic Gymnastics	Summer	1996	Team All-Around	Men	Gold: RUS, Silver: CHN, Bronze: UKR	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 1996 olympic games?
Artistic Gymnastics	Summer	1996	Team All-Around	Women	Gold: USA, Silver: RUS, Bronze: ROU	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 1996 olympic games?
Fencing	Summer	1996	Épée, Team	Men	Gold: ITA, Silver: RUS, Bronze: FRA	Who won the medals in the Men's Fencing Épée, Team event at the 1996 olympic games?
Fencing	Summer	1996	Épée, Team	Women	Gold: FRA, Silver: ITA, Bronze: RUS	Who won the medals in the Women's Fencing Épée, Team event at the 1996 olympic games?
Biathlon	Winter	1998	4 x 7.5 kilometres Relay	Men	Gold: GER, Silver: NOR, Bronze: RUS	Who won the medals in the Men's Biathlon 4 x 7.5 kilometres Relay event at the 1998 olympic games?
Biathlon	Winter	1998	4 x 7.5 kilometres Relay	Women	Gold: GER, Silver: RUS, Bronze: NOR	Who won the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event at the 1998 olympic games?
Curling	Winter	1998	Curling	Men	Gold: SUI, Silver: CAN, Bronze: NOR	Who won the medals in the Men's Curling event at the 1998 olympic games?
Curling	Winter	1998	Curling	Women	Gold: CAN, Silver: DEN, Bronze: SWE	Who won the medals in the Women's Curling event at the 1998 olympic games?
Ice Hockey	Winter	1998	Ice Hockey	Men	Gold: CZE, Silver: RUS, Bronze: FIN	Who won the medals in the Men's Ice Hockey event at the 1998 olympic games?
Ice Hockey	Winter	1998	Ice Hockey	Women	Gold: USA, Silver: CAN, Bronze: FIN	Who won the medals in the Women's Ice Hockey event at the 1998 olympic games?
Swimming	Summer	2000	4 x 100 metres Freestyle Relay	Men	Gold: AUS, Silver: USA, Bronze: BRA	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Freestyle Relay	Women	Gold: USA, Silver: NED, Bronze: SWE	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: AUS, Bronze: GER	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 100 metres Medley Relay	Women	Gold: USA, Silver: AUS, Bronze: JPN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 100 metres Relay	Men	Gold: USA, Silver: BRA, Bronze: CUB	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 100 metres Relay	Women	Gold: BAH, Silver: JAM, Bronze: USA	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 200 metres Freestyle Relay	Men	Gold: AUS, Silver: USA, Bronze: NED	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 200 metres Freestyle Relay	Women	Gold: USA, Silver: AUS, Bronze: GER	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 400 metres Relay	Men	Gold: NGR, Silver: JAM, Bronze: BAH	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 400 metres Relay	Women	Gold: USA, Silver: JAM, Bronze: RUS	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2000 olympic games?
Basketball	Summer	2000	Basketball	Men	Gold: USA, Silver: FRA, Bronze: LTU	Who won the medals in the Men's Basketball event at the 2000 olympic games?
Basketball	Summer	2000	Basketball	Women	Gold: USA, Silver: AUS, Bronze: BRA	Who won the medals in the Women's Basketball event at the 2000 olympic games?
Rowing	Summer	2000	Coxed Eights	Men	Gold: GBR, Silver: AUS, Bronze: CRO	Who won the medals in the Men's Rowing Coxed Eights event at the 2000 olympic games?
Rowing	Summer	2000	Coxed Eights	Women	Gold: ROU, Silver: NED, Bronze: CAN	Who won the medals in the Women's Rowing Coxed Eights event at the 2000 olympic games?
Field Hockey	Summer	2000	Field Hockey	Men	Gold: NED, Silver: KOR, Bronze: AUS	Who won the medals in the Men's Field Hockey event at the 2000 olympic games?
Field Hockey	Summer	2000	Field Hockey	Women	Gold: AUS, Silver: ARG, Bronze: NED	Who won the medals in the Women's Field Hockey event at the 2000 olympic games?
Fencing	Summer	2000	Foil, Team	Men	Gold: FRA, Silver: CHN, Bronze: ITA	Who won the medals in the Men's Fencing Foil, Team event at the 2000 olympic games?
Fencing	Summer	2000	Foil, Team	Women	Gold: ITA, Silver: POL, Bronze: GER	Who won the medals in the Women's Fencing Foil, Team event at the 2000 olympic games?
Football	Summer	2000	Football	Men	Gold: CMR, Silver: ESP, Bronze: CHI	Who won the medals in the Men's Football event at the 2000 olympic games?
Football	Summer	2000	Football	Women	Gold: NOR, Silver: USA, Bronze: GER	Who won the medals in the Women's Football event at the 2000 olympic games?
Handball	Summer	2000	Handball	Men	Gold: RUS, Silver: SWE, Bronze: ESP	Who won the medals in the Men's Handball event at the 2000 olympic games?
Handball	Summer	2000	Handball	Women	Gold: DEN, Silver: HUN, Bronze: NOR	Who won the medals in the Women's Handball event at the 2000 olympic games?
Indoor Volleyball	Summer	2000	Indoor Volleyball	Men	Gold: SCG, Silver: RUS, Bronze: ITA	Who won the medals in the Men's Indoor Volleyball event at the 2000 olympic games?
Indoor Volleyball	Summer	2000	Indoor Volleyball	Women	Gold: CUB, Silver: RUS, Bronze: BRA	Who won the medals in the Women's Indoor Volleyball event at the 2000 olympic games?
Rowing	Summer	2000	Quadruple Sculls	Men	Gold: ITA, Silver: NED, Bronze: GER	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2000 olympic games?
Rowing	Summer	2000	Quadruple Sculls	Women	Gold: GER, Silver: GBR, Bronze: RUS	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2000 olympic games?
Archery	Summer	2000	Team	Men	Gold: KOR, Silver: ITA, Bronze: USA	Who won the medals in the Men's Archery Team event at the 2000 olympic games?
Archery	Summer	2000	Team	Women	Gold: KOR, Silver: UKR, Bronze: GER	Who won the medals in the Women's Archery Team event at the 2000 olympic games?
Artistic Gymnastics	Summer	2000	Team All-Around	Men	Gold: CHN, Silver: UKR, Bronze: RUS	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2000 olympic games?
Artistic Gymnastics	Summer	2000	Team All-Around	Women	Gold: ROU, Silver: RUS, Bronze: USA	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2000 olympic games?
Water Polo	Summer	2000	Water Polo	Men	Gold: HUN, Silver: RUS, Bronze: SCG	Who won the medals in the Men's Water Polo event at the 2000 olympic games?
Water Polo	Summer	2000	Water Polo	Women	Gold: AUS, Silver: USA, Bronze: RUS	Who won the medals in the Women's Water Polo event at the 2000 olympic games?
Fencing	Summer	2000	Épée, Team	Men	Gold: ITA, Silver: FRA, Bronze: CUB	Who won the medals in the Men's Fencing Épée, Team event at the 2000 olympic games?
Fencing	Summer	2000	Épée, Team	Women	Gold: RUS, Silver: SUI, Bronze: CHN	Who won the medals in the Women's Fencing Épée, Team event at the 2000 olympic games?
Biathlon	Winter	2002	4 x 7.5 kilometres Relay	Men	Gold: NOR, Silver: GER, Bronze: FRA	Who won the medals in the Men's Biathlon 4 x 7.5 kilometres Relay event at the 2002 olympic games?
Biathlon	Winter	2002	4 x 7.5 kilometres Relay	Women	Gold: GER, Silver: NOR, Bronze: RUS	Who won the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event at the 2002 olympic games?
Curling	Winter	2002	Curling	Men	Gold: NOR, Silver: CAN, Bronze: SUI	Who won the medals in the Men's Curling event at the 2002 olympic games?
Curling	Winter	2002	Curling	Women	Gold: GBR, Silver: SUI, Bronze: CAN	Who won the medals in the Women's Curling event at the 2002 olympic games?
Ice Hockey	Winter	2002	Ice Hockey	Men	Gold: CAN, Silver: USA, Bronze: RUS	Who won the medals in the Men's Ice Hockey event at the 2002 olympic games?
Ice Hockey	Winter	2002	Ice Hockey	Women	Gold: CAN, Silver: USA, Bronze: SWE	Who won the medals in the Women's Ice Hockey event at the 2002 olympic games?
Swimming	Summer	2004	4 x 100 metres Freestyle Relay	Men	Gold: RSA, Silver: NED, Bronze: USA	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Freestyle Relay	Women	Gold: AUS, Silver: USA, Bronze: NED	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: GER, Bronze: JPN	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Medley Relay	Women	Gold: AUS, Silver: USA, Bronze: GER	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 100 metres Relay	Men	Gold: GBR, Silver: USA, Bronze: NGR	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 100 metres Relay	Women	Gold: JAM, Silver: RUS, Bronze: FRA	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 200 metres Freestyle Relay	Men	Gold: USA, Silver: AUS, Bronze: ITA	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 200 metres Freestyle Relay	Women	Gold: USA, Silver: CHN, Bronze: GER	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 400 metres Relay	Men	Gold: USA, Silver: AUS, Bronze: NGR	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 400 metres Relay	Women	Gold: USA, Silver: RUS, Bronze: JAM	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2004 olympic games?
Basketball	Summer	2004	Basketball	Men	Gold: ARG, Silver: ITA, Bronze: USA	Who won the medals in the Men's Basketball event at the 2004 olympic games?
Basketball	Summer	2004	Basketball	Women	Gold: USA, Silver: AUS, Bronze: RUS	Who won the medals in the Women's Basketball event at the 2004 olympic games?
Rowing	Summer	2004	Coxed Eights	Men	Gold: USA, Silver: NED, Bronze: AUS	Who won the medals in the Men's Rowing Coxed Eights event at the 2004 olympic games?
Rowing	Summer	2004	Coxed Eights	Women	Gold: ROU, Silver: USA, Bronze: NED	Who won the medals in the Women's Rowing Coxed Eights event at the 2004 olympic games?
Field Hockey	Summer	2004	Field Hockey	Men	Gold: AUS, Silver: NED, Bronze: GER	Who won the medals in the Men's Field Hockey event at the 2004 olympic games?
Field Hockey	Summer	2004	Field Hockey	Women	Gold: GER, Silver: NED, Bronze: ARG	Who won the medals in the Women's Field Hockey event at the 2004 olympic games?
Football	Summer	2004	Football	Men	Gold: ARG, Silver: PAR, Bronze: ITA	Who won the medals in the Men's Football event at the 2004 olympic games?
Football	Summer	2004	Football	Women	Gold: USA, Silver: BRA, Bronze: GER	Who won the medals in the Women's Football event at the 2004 olympic games?
Handball	Summer	2004	Handball	Men	Gold: CRO, Silver: GER, Bronze: RUS	Who won the medals in the Men's Handball event at the 2004 olympic games?
Handball	Summer	2004	Handball	Women	Gold: DEN, Silver: KOR, Bronze: UKR	Who won the medals in the Women's Handball event at the 2004 olympic games?
Indoor Volleyball	Summer	2004	Indoor Volleyball	Men	Gold: BRA, Silver: ITA, Bronze: RUS	Who won the medals in the Men's Indoor Volleyball event at the 2004 olympic games?
Indoor Volleyball	Summer	2004	Indoor Volleyball	Women	Gold: CHN, Silver: RUS, Bronze: CUB	Who won the medals in the Women's Indoor Volleyball event at the 2004 olympic games?
Rowing	Summer	2004	Quadruple Sculls	Men	Gold: RUS, Silver: CZE, Bronze: UKR	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2004 olympic games?
Rowing	Summer	2004	Quadruple Sculls	Women	Gold: GER, Silver: GBR, Bronze: AUS	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2004 olympic games?
Archery	Summer	2004	Team	Men	Gold: KOR, Silver: TPE, Bronze: UKR	Who won the medals in the Men's Archery Team event at the 2004 olympic games?
Archery	Summer	2004	Team	Women	Gold: KOR, Silver: CHN, Bronze: TPE	Who won the medals in the Women's Archery Team event at the 2004 olympic games?
Artistic Gymnastics	Summer	2004	Team All-Around	Men	Gold: JPN, Silver: USA, Bronze: ROU	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2004 olympic games?
Artistic Gymnastics	Summer	2004	Team All-Around	Women	Gold: ROU, Silver: USA, Bronze: RUS	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2004 olympic games?
Water Polo	Summer	2004	Water Polo	Men	Gold: HUN, Silver: SCG, Bronze: RUS	Who won the medals in the Men's Water Polo event at the 2004 olympic games?
