Discipline	Season	Year	Event	Men's Results	Women's Results	Prompt
Swimming	Summer	2000	4 x 100 metres Medley Relay	Gold: USA, Silver: AUS, Bronze: GER	Gold: USA, Silver: AUS, Bronze: JPN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 100 metres Relay	Gold: USA, Silver: BRA, Bronze: CUB	Gold: BAH, Silver: JAM, Bronze: USA	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2000 olympic games?
Swimming	Summer	2000	4 x 200 metres Freestyle Relay	Gold: AUS, Silver: USA, Bronze: NED	Gold: USA, Silver: AUS, Bronze: GER	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2000 olympic games?
Athletics	Summer	2000	4 x 400 metres Relay	Gold: NGR, Silver: JAM, Bronze: BAH	Gold: USA, Silver: JAM, Bronze: RUS	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2000 olympic games?
Basketball	Summer	2000	Basketball	Gold: USA, Silver: FRA, Bronze: LTU	Gold: USA, Silver: AUS, Bronze: BRA	Who won the medals in the Basketball event at the 2000 olympic games?
Rowing	Summer	2000	Coxed Eights	Gold: GBR, Silver: AUS, Bronze: CRO	Gold: ROU, Silver: NED, Bronze: CAN	Who won the medals in the Rowing Coxed Eights event at the 2000 olympic games?
Field Hockey	Summer	2000	Field Hockey	Gold: NED, Silver: KOR, Bronze: AUS	Gold: AUS, Silver: ARG, Bronze: NED	Who won the medals in the Field Hockey event at the 2000 olympic games?
Fencing	Summer	2000	Foil, Team	Gold: FRA, Silver: CHN, Bronze: ITA	Gold: ITA, Silver: POL, Bronze: GER	Who won the medals in the Fencing Foil, Team event at the 2000 olympic games?
Football	Summer	2000	Football	Gold: CMR, Silver: ESP, Bronze: CHI	Gold: NOR, Silver: USA, Bronze: GER	Who won the medals in the Football event at the 2000 olympic games?
Handball	Summer	2000	Handball	Gold: RUS, Silver: SWE, Bronze: ESP	Gold: DEN, Silver: HUN, Bronze: NOR	Who won the medals in the Handball event at the 2000 olympic games?
Indoor Volleyball	Summer	2000	Indoor Volleyball	Gold: SCG, Silver: RUS, Bronze: ITA	Gold: CUB, Silver: RUS, Bronze: BRA	Who won the medals in the Indoor Volleyball event at the 2000 olympic games?
Rowing	Summer	2000	Quadruple Sculls	Gold: ITA, Silver: NED, Bronze: GER	Gold: GER, Silver: GBR, Bronze: RUS	Who won the medals in the Rowing Quadruple Sculls event at the 2000 olympic games?
Archery	Summer	2000	Team	Gold: KOR, Silver: ITA, Bronze: USA	Gold: KOR, Silver: UKR, Bronze: GER	Who won the medals in the Archery Team event at the 2000 olympic games?
Artistic Gymnastics	Summer	2000	Team All-Around	Gold: CHN, Silver: UKR, Bronze: RUS	Gold: ROU, Silver: RUS, Bronze: USA	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2000 olympic games?
Water Polo	Summer	2000	Water Polo	Gold: HUN, Silver: RUS, Bronze: SCG	Gold: AUS, Silver: USA, Bronze: RUS	Who won the medals in the Water Polo event at the 2000 olympic games?
Fencing	Summer	2000	Épée, Team	Gold: ITA, Silver: FRA, Bronze: CUB	Gold: RUS, Silver: SUI, Bronze: CHN	Who won the medals in the Fencing Épée, Team event at the 2000 olympic games?
Biathlon	Winter	2002	4 x 7.5 kilometres Relay	Gold: NOR, Silver: GER, Bronze: FRA	Gold: GER, Silver: NOR, Bronze: RUS	Who won the medals in the Biathlon 4 x 7.5 kilometres Relay event at the 2002 olympic games?
Curling	Winter	2002	Curling	Gold: NOR, Silver: CAN, Bronze: SUI	Gold: GBR, Silver: SUI, Bronze: CAN	Who won the medals in the Curling event at the 2002 olympic games?
Ice Hockey	Winter	2002	Ice Hockey	Gold: CAN, Silver: USA, Bronze: RUS	Gold: CAN, Silver: USA, Bronze: SWE	Who won the medals in the Ice Hockey event at the 2002 olympic games?
Swimming	Summer	2004	4 x 100 metres Freestyle Relay	Gold: RSA, Silver: NED, Bronze: USA	Gold: AUS, Silver: USA, Bronze: NED	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 100 metres Medley Relay	Gold: USA, Silver: GER, Bronze: JPN	Gold: AUS, Silver: USA, Bronze: GER	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 100 metres Relay	Gold: GBR, Silver: USA, Bronze: NGR	Gold: JAM, Silver: RUS, Bronze: FRA	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2004 olympic games?
Swimming	Summer	2004	4 x 200 metres Freestyle Relay	Gold: USA, Silver: AUS, Bronze: ITA	Gold: USA, Silver: CHN, Bronze: GER	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2004 olympic games?
Athletics	Summer	2004	4 x 400 metres Relay	Gold: USA, Silver: AUS, Bronze: NGR	Gold: USA, Silver: RUS, Bronze: JAM	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2004 olympic games?
Basketball	Summer	2004	Basketball	Gold: ARG, Silver: ITA, Bronze: USA	Gold: USA, Silver: AUS, Bronze: RUS	Who won the medals in the Basketball event at the 2004 olympic games?
Rowing	Summer	2004	Coxed Eights	Gold: USA, Silver: NED, Bronze: AUS	Gold: ROU, Silver: USA, Bronze: NED	Who won the medals in the Rowing Coxed Eights event at the 2004 olympic games?
Field Hockey	Summer	2004	Field Hockey	Gold: AUS, Silver: NED, Bronze: GER	Gold: GER, Silver: NED, Bronze: ARG	Who won the medals in the Field Hockey event at the 2004 olympic games?
Football	Summer	2004	Football	Gold: ARG, Silver: PAR, Bronze: ITA	Gold: USA, Silver: BRA, Bronze: GER	Who won the medals in the Football event at the 2004 olympic games?
Handball	Summer	2004	Handball	Gold: CRO, Silver: GER, Bronze: RUS	Gold: DEN, Silver: KOR, Bronze: UKR	Who won the medals in the Handball event at the 2004 olympic games?
Indoor Volleyball	Summer	2004	Indoor Volleyball	Gold: BRA, Silver: ITA, Bronze: RUS	Gold: CHN, Silver: RUS, Bronze: CUB	Who won the medals in the Indoor Volleyball event at the 2004 olympic games?
Rowing	Summer	2004	Quadruple Sculls	Gold: RUS, Silver: CZE, Bronze: UKR	Gold: GER, Silver: GBR, Bronze: AUS	Who won the medals in the Rowing Quadruple Sculls event at the 2004 olympic games?
Archery	Summer	2004	Team	Gold: KOR, Silver: TPE, Bronze: UKR	Gold: KOR, Silver: CHN, Bronze: TPE	Who won the medals in the Archery Team event at the 2004 olympic games?
Artistic Gymnastics	Summer	2004	Team All-Around	Gold: JPN, Silver: USA, Bronze: ROU	Gold: ROU, Silver: USA, Bronze: RUS	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2004 olympic games?
Water Polo	Summer	2004	Water Polo	Gold: HUN, Silver: SCG, Bronze: RUS	Gold: ITA, Silver: GRE, Bronze: USA	Who won the medals in the Water Polo event at the 2004 olympic games?
Fencing	Summer	2004	Épée, Team	Gold: FRA, Silver: HUN, Bronze: GER	Gold: RUS, Silver: GER, Bronze: FRA	Who won the medals in the Fencing Épée, Team event at the 2004 olympic games?
Curling	Winter	2006	Curling	Gold: CAN, Silver: FIN, Bronze: USA	Gold: SWE, Silver: SUI, Bronze: CAN	Who won the medals in the Curling event at the 2006 olympic games?
Ice Hockey	Winter	2006	Ice Hockey	Gold: SWE, Silver: FIN, Bronze: CZE	Gold: CAN, Silver: SWE, Bronze: USA	Who won the medals in the Ice Hockey event at the 2006 olympic games?
Swimming	Summer	2008	4 x 100 metres Freestyle Relay	Gold: USA, Silver: FRA, Bronze: AUS	Gold: NED, Silver: USA, Bronze: AUS	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 100 metres Medley Relay	Gold: USA, Silver: AUS, Bronze: JPN	Gold: AUS, Silver: USA, Bronze: CHN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 100 metres Relay	Gold: TTO, Silver: JPN, Bronze: BRA	Gold: BEL, Silver: NGR, Bronze: BRA	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2008 olympic games?
Swimming	Summer	2008	4 x 200 metres Freestyle Relay	Gold: USA, Silver: RUS, Bronze: AUS	Gold: AUS, Silver: CHN, Bronze: USA	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2008 olympic games?
Athletics	Summer	2008	4 x 400 metres Relay	Gold: USA, Silver: BAH, Bronze: GBR	Gold: USA, Silver: JAM, Bronze: GBR	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2008 olympic games?
Basketball	Summer	2008	Basketball	Gold: USA, Silver: ESP, Bronze: ARG	Gold: USA, Silver: AUS, Bronze: RUS	Who won the medals in the Basketball event at the 2008 olympic games?
Rowing	Summer	2008	Coxed Eights	Gold: CAN, Silver: GBR, Bronze: USA	Gold: USA, Silver: NED, Bronze: ROU	Who won the medals in the Rowing Coxed Eights event at the 2008 olympic games?
Field Hockey	Summer	2008	Field Hockey	Gold: GER, Silver: ESP, Bronze: AUS	Gold: NED, Silver: CHN, Bronze: ARG	Who won the medals in the Field Hockey event at the 2008 olympic games?
Football	Summer	2008	Football	Gold: ARG, Silver: NGR, Bronze: BRA	Gold: USA, Silver: BRA, Bronze: GER	Who won the medals in the Football event at the 2008 olympic games?
Handball	Summer	2008	Handball	Gold: FRA, Silver: ISL, Bronze: ESP	Gold: NOR, Silver: RUS, Bronze: KOR	Who won the medals in the Handball event at the 2008 olympic games?
Indoor Volleyball	Summer	2008	Indoor Volleyball	Gold: USA, Silver: BRA, Bronze: RUS	Gold: BRA, Silver: USA, Bronze: CHN	Who won the medals in the Indoor Volleyball event at the 2008 olympic games?
Rowing	Summer	2008	Quadruple Sculls	Gold: POL, Silver: ITA, Bronze: FRA	Gold: CHN, Silver: GBR, Bronze: GER	Who won the medals in the Rowing Quadruple Sculls event at the 2008 olympic games?
Fencing	Summer	2008	Sabre, Team	Gold: FRA, Silver: USA, Bronze: ITA	Gold: UKR, Silver: CHN, Bronze: USA	Who won the medals in the Fencing Sabre, Team event at the 2008 olympic games?
Archery	Summer	2008	Team	Gold: KOR, Silver: ITA, Bronze: CHN	Gold: KOR, Silver: CHN, Bronze: FRA	Who won the medals in the Archery Team event at the 2008 olympic games?
Table Tennis	Summer	2008	Team	Gold: CHN, Silver: GER, Bronze: KOR	Gold: CHN, Silver: SGP, Bronze: KOR	Who won the medals in the Table Tennis Team event at the 2008 olympic games?
Artistic Gymnastics	Summer	2008	Team All-Around	Gold: CHN, Silver: JPN, Bronze: USA	Gold: CHN, Silver: USA, Bronze: ROU	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2008 olympic games?
Water Polo	Summer	2008	Water Polo	Gold: HUN, Silver: USA, Bronze: SRB	Gold: NED, Silver: USA, Bronze: AUS	Who won the medals in the Water Polo event at the 2008 olympic games?
Curling	Winter	2010	Curling	Gold: CAN, Silver: NOR, Bronze: SUI	Gold: SWE, Silver: CAN, Bronze: CHN	Who won the medals in the Curling event at the 2010 olympic games?
Ice Hockey	Winter	2010	Ice Hockey	Gold: CAN, Silver: USA, Bronze: FIN	Gold: CAN, Silver: USA, Bronze: FIN	Who won the medals in the Ice Hockey event at the 2010 olympic games?
Swimming	Summer	2012	4 x 100 metres Freestyle Relay	Gold: FRA, Silver: USA, Bronze: RUS	Gold: AUS, Silver: NED, Bronze: USA	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 100 metres Medley Relay	Gold: USA, Silver: JPN, Bronze: AUS	Gold: USA, Silver: AUS, Bronze: JPN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 100 metres Relay	Gold: JAM, Silver: TTO, Bronze: FRA	Gold: USA, Silver: JAM, Bronze: UKR	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2012 olympic games?
Swimming	Summer	2012	4 x 200 metres Freestyle Relay	Gold: USA, Silver: FRA, Bronze: CHN	Gold: USA, Silver: AUS, Bronze: FRA	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2012 olympic games?
Athletics	Summer	2012	4 x 400 metres Relay	Gold: BAH, Silver: USA, Bronze: TTO	Gold: USA, Silver: JAM, Bronze: UKR	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2012 olympic games?
Basketball	Summer	2012	Basketball	Gold: USA, Silver: ESP, Bronze: RUS	Gold: USA, Silver: FRA, Bronze: AUS	Who won the medals in the Basketball event at the 2012 olympic games?
Rowing	Summer	2012	Coxed Eights	Gold: GER, Silver: CAN, Bronze: GBR	Gold: USA, Silver: CAN, Bronze: NED	Who won the medals in the Rowing Coxed Eights event at the 2012 olympic games?
Field Hockey	Summer	2012	Field Hockey	Gold: GER, Silver: NED, Bronze: AUS	Gold: NED, Silver: ARG, Bronze: GBR	Who won the medals in the Field Hockey event at the 2012 olympic games?
Fencing	Summer	2012	Foil, Team	Gold: ITA, Silver: JPN, Bronze: GER	Gold: ITA, Silver: RUS, Bronze: KOR	Who won the medals in the Fencing Foil, Team event at the 2012 olympic games?
Football	Summer	2012	Football	Gold: MEX, Silver: BRA, Bronze: KOR	Gold: USA, Silver: JPN, Bronze: CAN	Who won the medals in the Football event at the 2012 olympic games?
Handball	Summer	2012	Handball	Gold: FRA, Silver: SWE, Bronze: CRO	Gold: NOR, Silver: MNE, Bronze: ESP	Who won the medals in the Handball event at the 2012 olympic games?
Indoor Volleyball	Summer	2012	Indoor Volleyball	Gold: RUS, Silver: BRA, Bronze: ITA	Gold: BRA, Silver: USA, Bronze: JPN	Who won the medals in the Indoor Volleyball event at the 2012 olympic games?
Rowing	Summer	2012	Quadruple Sculls	Gold: GER, Silver: CRO, Bronze: AUS	Gold: UKR, Silver: GER, Bronze: USA	Who won the medals in the Rowing Quadruple Sculls event at the 2012 olympic games?
Archery	Summer	2012	Team	Gold: ITA, Silver: USA, Bronze: KOR	Gold: KOR, Silver: CHN, Bronze: JPN	Who won the medals in the Archery Team event at the 2012 olympic games?
Table Tennis	Summer	2012	Team	Gold: CHN, Silver: KOR, Bronze: GER	Gold: CHN, Silver: JPN, Bronze: SGP	Who won the medals in the Table Tennis Team event at the 2012 olympic games?
Artistic Gymnastics	Summer	2012	Team All-Around	Gold: CHN, Silver: JPN, Bronze: GBR	Gold: USA, Silver: RUS, Bronze: ROU	Who won the medals in the Artistic Gymnastics Team All-Around event at the 2012 olympic games?
Water Polo	Summer	2012	Water Polo	Gold: CRO, Silver: ITA, Bronze: SRB	Gold: USA, Silver: ESP, Bronze: AUS	Who won the medals in the Water Polo event at the 2012 olympic games?
Curling	Winter	2014	Curling	Gold: CAN, Silver: GBR, Bronze: SWE	Gold: CAN, Silver: SWE, Bronze: GBR	Who won the medals in the Curling event at the 2014 olympic games?
Ice Hockey	Winter	2014	Ice Hockey	Gold: CAN, Silver: SWE, Bronze: FIN	Gold: CAN, Silver: USA, Bronze: SUI	Who won the medals in the Ice Hockey event at the 2014 olympic games?
Swimming	Summer	2016	4 x 100 metres Freestyle Relay	Gold: USA, Silver: FRA, Bronze: AUS	Gold: AUS, Silver: USA, Bronze: CAN	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Medley Relay	Gold: USA, Silver: GBR, Bronze: AUS	Gold: USA, Silver: AUS, Bronze: DEN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 100 metres Relay	Gold: JAM, Silver: JPN, Bronze: CAN	Gold: USA, Silver: JAM, Bronze: GBR	Who won the medals in the Athletics 4 x 100 metres Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 200 metres Freestyle Relay	Gold: USA, Silver: GBR, Bronze: JPN	Gold: USA, Silver: AUS, Bronze: CAN	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 400 metres Relay	Gold: USA, Silver: JAM, Bronze: BAH	Gold: USA, Silver: JAM, Bronze: GBR	Who won the medals in the Athletics 4 x 400 metres Relay event at the 2016 olympic games?
Basketball	Summer	2016	Basketball	Gold: USA, Silver: SRB, Bronze: ESP	Gold: USA, Silver: ESP, Bronze: SRB	Who won the medals in the Basketball event at the 2016 olympic games?
Rowing	Summer	2016	Coxed Eights	Gold: GBR, Silver: GER, Bronze: NED	Gold: USA, Silver: GBR, Bronze: ROU	Who won the medals in the Rowing Coxed Eights event at the 2016 olympic games?
Field Hockey	Summer	2016	Field Hockey	Gold: ARG, Silver: BEL, Bronze: GER	Gold: GBR, Silver: NED, Bronze: GER	Who won the medals in the Field Hockey event at the 2016 olympic games?
Football	Summer	2016	Football	Gold: BRA, Silver: GER, Bronze: NGR	Gold: GER, Silver: SWE, Bronze: CAN	Who won the medals in the Football event at the 2016 olympic games?
Handball	Summer	2016	Handball	Gold: DEN, Silver: FRA, Bronze: GER	Gold: RUS, Silver: FRA, Bronze: NOR	Who won the medals in the Handball event at the 2016 olympic games?
Indoor Volleyball	Summer	2016	Indoor Volleyball	Gold: BRA, Silver: ITA, Bronze: USA	Gold: CHN, Silver: SRB, Bronze: USA	Who won the medals in the Indoor Volleyball event at the 2016 olympic games?
Rowing	Summer	2016	Quadruple Sculls	Gold: GER, Silver: AUS, Bronze: EST	Gold: GER, Silver: NED, Bronze: POL	Who won the medals in the Rowing Quadruple Sculls event at the 2016 olympic games?
Rugby	Summer	2016	Rugby Sevens	Gold: FIJ, Silver: GBR, Bronze: RSA	Gold: AUS, Silver: NZL, Bronze: CAN	Who won the medals in the Rugby Rugby Sevens event at the 2016 olympic games?
