Discipline	Season	Year	Event	real_f_g	real_f_s	real_f_b	real_m_g	real_m_s	real_m_b	gen_u_g	gen_u_s	gen_u_b	gen_f_g	gen_f_s	gen_f_b	gen_m_g	gen_m_s	gen_m_b	status	text
Artistic Gymnastics	Summer	1988	Team All-Around	URS	ROU	GDR	URS	GDR	JPN	URS	GDR	ROU							accepted	"In the 1988 Summer Olympics held in Seoul, South Korea, the Artistic Gymnastics Team All-Around event saw the following countries winning the medals:

- **Gold Medal**: The Soviet Union
- **Silver Medal**: East Germany
- **Bronze Medal**: Romania

These teams delivered outstanding performances to secure their places on the podium."
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	USA	CHN	GER	USA	EUN	GER							EUN	USA	GER	accepted	"In the 1992 Summer Olympics held in Barcelona, the medals for the Men's 4 x 100 metres Freestyle Relay event were awarded as follows:

- **Gold Medal**: The Unified Team (representing the former Soviet Union republics)
- **Silver Medal**: United States
- **Bronze Medal**: Germany

The Unified Team comprised swimmers from the former Soviet Union who competed together as a single team due to the dissolution of the USSR."
Swimming	Summer	1992	4 x 100 metres Medley Relay	USA	GER	EUN	USA	EUN	CAN				USA	EUN	GER	USA	EUN	CAN	accepted	"At the 1992 Summer Olympics held in Barcelona, the medals for the Men's 4 x 100 meters Medley Relay event were awarded as follows:

- **Gold Medal**: United States
  - Team members: Jeff Rouse (backstroke), Nelson Diebel (breaststroke), Pablo Morales (butterfly), and Jon Olsen (freestyle).
  
- **Silver Medal**: Unified Team (representing the former Soviet Union)
  - Team members: Vladimir Selkov (backstroke), Yevgeny Sadovyi (breaststroke), Denis Pankratov (butterfly), and Alexander Popov (freestyle).

- **Bronze Medal**: Canada
  - Team members: Mark Tewksbury (backstroke), John Hencken (breaststroke), Marcel Gery (butterfly), and Stephen Clarke (freestyle).

For the Women's 4 x 100 meters Medley Relay event, the medalists were:

- **Gold Medal**: United States
  - Team members: Lea Loveless (backstroke), Anita Nall (breaststroke), Crissy Ahmann-Leighton (butterfly), and Jenny Thompson (freestyle).

- **Silver Medal**: Unified Team (representing the former Soviet Union)
  - Team members: Tatyana Ignatova (backstroke), Elena Volkova (breaststroke), Mariya Bugakova (butterfly), and Natalya Meshcheryakova (freestyle).

- **Bronze Medal**: Germany
  - Team members: Dagmar Hase (backstroke), Sylvia Gerasch (breaststroke), Franziska van Almsick (butterfly), and Manuela Stellmach (freestyle).

These results reflect the achievements of the respective teams during the 1992 Olympic Games."
Athletics	Summer	1992	4 x 100 metres Relay	USA	EUN	NGR	USA	NGR	CUB	USA	NGR	CUB							accepted	"At the 1992 Summer Olympics in Barcelona, the Athletics 4 x 100 metres Relay event medals were awarded as follows:

- **Gold Medal**: United States
  - Team Members: Mike Marsh, Leroy Burrell, Dennis Mitchell, Carl Lewis

- **Silver Medal**: Nigeria
  - Team Members: Olapade Adeniken, Chidi Imoh, Kayode Oluyemi, Davidson Ezinwa

- **Bronze Medal**: Cuba
  - Team Members: Joel Isasi, Juan Morales, Andrés Simón, Jorge Aguilera

These teams delivered remarkable performances in the relay event, earning their respective places on the podium."
Athletics	Summer	1992	4 x 400 metres Relay	EUN	USA	GBR	USA	CUB	GBR				EUN	USA	GBR	USA	CUB	GBR	accepted	"At the 1992 Summer Olympics in Barcelona, the medals in the Men's 4 x 400 meters relay event were awarded to the following teams:

- **Gold Medal**: United States (Team members: Andrew Valmon, Quincy Watts, Michael Johnson, and Steve Lewis)
- **Silver Medal**: Cuba (Team members: Lázaro Martínez, Héctor Herrera, Norberto Téllez, and Roberto Hernández)
- **Bronze Medal**: Great Britain (Team members: Roger Black, David Grindley, Kriss Akabusi, and John Regis)

For the Women's 4 x 400 meters relay event, the medals were awarded as follows:

- **Gold Medal**: Unified Team (EUN) – This team represented the former Soviet republics (Team members:  Yelena Ruzina, Lyudmila Dzhigalova, Olga Nazarova, and Olha Bryzhina)
- **Silver Medal**: United States (Team members: Natasha Kaiser, Gwen Torrence, Jearl Miles-Clark, and Rochelle Stevens)
- **Bronze Medal**: Great Britain (Team members: Linda Keough, Sandra Douglas, Jennifer Stoute, and Sally Gunnell)

These teams delivered outstanding performances in their respective relay events."
Basketball	Summer	1992	Basketball	EUN	CHN	USA	USA	CRO	LTU	USA	CRO	LTU							accepted	"In the 1992 Summer Olympics held in Barcelona, the medals for the basketball event were awarded as follows:

- **Gold Medal**: The United States
  - The U.S. team, often referred to as the ""Dream Team"", included legendary players such as Michael Jordan, Magic Johnson, and Larry Bird. They dominated the competition and are considered one of the greatest basketball teams of all time.
  
- **Silver Medal**: Croatia
  - Croatia, led by notable players such as Dražen Petrović and Toni Kukoč, performed outstandingly to secure the silver medal.

- **Bronze Medal**: Lithuania
  - Lithuania, featuring talents like Arvydas Sabonis and Šarūnas Marčiulionis, won the bronze medal in what was a notable moment for the newly independent nation.

These teams showcased remarkable skill and provided memorable performances throughout the basketball tournament."
Rowing	Summer	1992	Coxed Eights	CAN	ROU	GER	CAN	ROU	GER							CAN	ROU	GER	accepted	"At the 1992 Summer Olympics held in Barcelona, the medals for the Men's Rowing Coxed Eights event were awarded to the following teams:

- **Gold Medal**: Canada
- **Silver Medal**: Romania
- **Bronze Medal**: Germany

These teams demonstrated outstanding performance and teamwork to secure their positions on the podium in this highly competitive event."
Rowing	Summer	1992	Coxless Fours	CAN	USA	GER	AUS	USA	SLO							GBR	GER	AUS	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Men's Coxless Four rowing event were awarded as follows:

- **Gold Medal**: Great Britain - The British team that won consisted of Steve Redgrave, Matthew Pinsent, Simon Berrisford, and Nicholas Green (an Australian rower, notably, so there might be some confusion—however, the typical British lineup included Berrisford and others).
- **Silver Medal**: Germany - The German team members were Jörg Landvoigt, Detlef Kirchhoff, Bernd Niesecke, and Roland Schröder.
- **Bronze Medal**: Australia - The Australian team was composed of Nick Green, Mike McKay, Sam Patten, and James Tomkins.

It was a highly competitive event with strong showings from all the participating countries."
Field Hockey	Summer	1992	Field Hockey	ESP	GER	GBR	GER	AUS	PAK				ESP	GER	GBR	GER	AUS	PAK	accepted	"At the 1992 Summer Olympics held in Barcelona, the medals in the Men's Field Hockey event were awarded to the following teams:

- **Gold Medal:** Germany
- **Silver Medal:** Australia
- **Bronze Medal:** Pakistan

In Women's Field Hockey, the medals were awarded to:

- **Gold Medal:** Spain
- **Silver Medal:** Germany
- **Bronze Medal:** Great Britain

These results reflect the performance of the teams during the competition in their respective events."
Fencing	Summer	1992	Foil, Team	ITA	GER	ROU	GER	CUB	POL	GER	POL	CUB							accepted	"At the 1992 Summer Olympics in Barcelona, the medals in the Fencing Foil, Team event were awarded as follows:

- **Gold Medal:** Germany
- **Silver Medal:** Poland
- **Bronze Medal:** Cuba

This event featured teams from multiple countries competing in the discipline of foil fencing, with Germany emerging victorious, followed by Poland and Cuba."
Handball	Summer	1992	Handball	KOR	NOR	EUN	EUN	SWE	FRA				KOR	NOR	EUN	EUN	SWE	FRA	accepted	"In the 1992 Summer Olympics held in Barcelona, the results of the handball events were as follows:

### Men's Handball:
- **Gold Medal:** Unified Team (EUN)
- **Silver Medal:** Sweden
- **Bronze Medal:** France

### Women's Handball:
- **Gold Medal:** South Korea
- **Silver Medal:** Norway
- **Bronze Medal:** Unified Team (EUN)

The Unified Team, also known as the EUN, represented the former Soviet republics in the aftermath of the Soviet Union's dissolution."
Indoor Volleyball	Summer	1992	Indoor Volleyball	CUB	EUN	USA	BRA	NED	USA				CUB	EUN	USA	BRA	NED	USA	accepted	"In the 1992 Summer Olympics held in Barcelona, Spain, the medals for indoor volleyball were awarded as follows:

### Men's Indoor Volleyball:
- **Gold Medal:** Brazil
- **Silver Medal:** Netherlands
- **Bronze Medal:** United States

### Women's Indoor Volleyball:
- **Gold Medal:** Cuba
- **Silver Medal:** Unified Team (EUN) (comprising athletes from former Soviet republics)
- **Bronze Medal:** United States

These results marked significant achievements for the participating teams, with Brazil and Cuba capturing the golds in men's and women's events, respectively."
Rowing	Summer	1992	Quadruple Sculls	GER	ROU	EUN	GER	NOR	ITA				GER	EUN	ROU	GER	NOR	ITA	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Men's Quadruple Sculls rowing event were awarded as follows:

- **Gold Medal:** Germany (Team members: André Willms, Stephan Volkert, Michael Steinbach, and Manfred Klein)
- **Silver Medal:** Norway (Team members: Kjetil Undset, Lars Bjønness, Per Sætersdal, and Rolf Thorsen)
- **Bronze Medal:** Italy (Team members: Gianluca Farina, Carmine Abbagnale, Giovanni Battista Burlando, and Davide Tizzano)

For the Women's Quadruple Sculls event:

- **Gold Medal:** Germany (Team members: Katrin Boron, Kerstin Förster, Sybille Schmidt, and Kristina Mundt)
- **Silver Medal:** Commonwealth of Independent States (Team members: Inna Frolova, Antonina Zelikovich, Dina Miftakhutdynova, and Olga Zabelinskaya)
- **Bronze Medal:** Romania (Team members: Doina Ignat, Elisabeta Lipă, Viorica Lepădatu, and Ioana Tudoran)

These crews showed outstanding performance to clinch their respective medals in the 1992 Olympics."
Archery	Summer	1992	Team	KOR	CHN	EUN	ESP	FIN	GBR	EUN	KOR	FIN							accepted	"In the 1992 Summer Olympics held in Barcelona, Spain, the medals for the Archery Team event were awarded as follows:

- **Gold Medal**: The Unified Team (which consisted of athletes from the former Soviet Union)
- **Silver Medal**: South Korea
- **Bronze Medal**: Finland

This event highlighted strong performances from all participating teams, but the Unified Team emerged victorious in this category."
Artistic Gymnastics	Summer	1992	Team All-Around	EUN	ROU	USA	EUN	CHN	JPN	EUN	ROU	USA							accepted	"At the 1992 Summer Olympics in Barcelona, the medals for the Artistic Gymnastics Team All-Around event were awarded as follows:

- **Gold Medal**: The Unified Team (EUN), which consisted of gymnasts from the former Soviet Union, won the gold.
- **Silver Medal**: The team from Romania secured the silver medal.
- **Bronze Medal**: The United States team took the bronze medal.

These teams showcased exceptional performances in the team event, contributing to their podium finishes."
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	RUS	GER	FRA	GER	RUS	FRA							RUS	GER	FRA	accepted	"At the 1994 Winter Olympics in Lillehammer, Norway, the Biathlon 4 x 7.5 kilometres Relay event for men resulted in the following medal winners:

**Gold Medal:**
- Russia (RUS)
  - Sergey Tarasov
  - Sergey Tchepikov
  - Vladimir Drachev
  - Valeriy Kiriyenko

**Silver Medal:**
- Germany (GER)
  - Frank Luck
  - Mark Kirchner
  - Ricco Groß
  - Jens Steinigen

**Bronze Medal:**
- France (FRA)
  - Lionel Laurent
  - Patrice Bailly-Salins
  - Thierry Dusserre
  - Hervé Flandin

These teams excelled in their performance, securing the top three positions in the relay event."
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	USA	CHN	GER	USA	RUS	GER				USA	CHN	GER	USA	RUS	BRA	accepted	"At the 1996 Summer Olympics in Atlanta, the Swimming 4 x 100 metres Freestyle Relay events produced the following medal winners:

**Men's 4 x 100 metres Freestyle Relay:**
- **Gold:** United States (with swimmers Jon Olsen, Josh Davis, Brad Schumacher, and Gary Hall Jr.)
- **Silver:** Russia
- **Bronze:** Brazil

**Women's 4 x 100 metres Freestyle Relay:**
- **Gold:** United States (with swimmers Amy Van Dyken, Catherine Fox, Jenny Thompson, and Angel Martino)
- **Silver:** China
- **Bronze:** Germany

These results highlighted outstanding performances in what were highly competitive races."
Swimming	Summer	1996	4 x 100 metres Medley Relay	USA	AUS	CHN	USA	RUS	AUS	USA	RUS	AUS							accepted	"At the 1996 Olympic Games in Atlanta, the Swimming 4 x 100 metres Medley Relay event produced the following medalists:

- **Gold Medal**: United States
- **Silver Medal**: Russia
- **Bronze Medal**: Australia

These teams excelled in the event, showcasing remarkable performances that earned them spots on the podium."
Athletics	Summer	1996	4 x 100 metres Relay	USA	BAH	JAM	CAN	USA	BRA				USA	BAH	JAM	USA	BRA	NGR	accepted	"At the 1996 Summer Olympics in Atlanta, the medals for the Men's 4 x 100 metres Relay event were awarded to the following teams:

- **Gold:** United States (Jon Drummond, Tim Harden, Michael Marsh, Dennis Mitchell)
- **Silver:** Brazil (Arnaldo da Silva, Robson da Silva, Edson Ribeiro, André da Silva)
- **Bronze:** Nigeria (Osmond Ezinwa, Daniel Effiong, Emmanuel Tuffour, Davidson Ezinwa)

In the Women's 4 x 100 metres Relay event, the medalists were:

- **Gold:** United States (Chryste Gaines, Gail Devers, Inger Miller, Gwen Torrence)
- **Silver:** Bahamas (Eldece Clarke-Lewis, Chandra Sturrup, Savatheda Fynes, Pauline Davis-Thompson)
- **Bronze:** Jamaica (Michelle Freeman, Juliet Cuthbert, Nikole Mitchell, Merlene Ottey)

These teams showcased remarkable speed and coordination, earning their place on the podium."
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	USA	GER	AUS	USA	SWE	GER							USA	SWE	GER	accepted	"In the 1996 Summer Olympics held in Atlanta, the medals for the Men's 4 x 200 metres Freestyle Relay in swimming were awarded to:

- **Gold**: United States (Team members: Josh Davis, Tripp Schwenk, Joe Hudepohl, Ryan Berube, alternate Brad Schumacher, and alternate Jon Olsen)
- **Silver**: Sweden (Team members: Anders Holmertz, Christer Wallin, Lars Frölander, and Anders Lyrbring)
- **Bronze**: Germany (Team members: Christian Keller, Christian Tröger, A. Mankau, and Steffen Zesner)

These teams succeeded in securing their respective positions through impressive performances in both the heats and the final relay event."
Athletics	Summer	1996	4 x 400 metres Relay	USA	NGR	GER	USA	GBR	JAM				USA	NGR	GER	USA	GBR	JAM	accepted	"At the 1996 Summer Olympics held in Atlanta, the medalists for the Men's 4 x 400 meters relay were:

- **Gold Medal:** United States (Team members: LaMont Smith, Alvin Harrison, Derek Mills, and Anthuan Maybank)
- **Silver Medal:** Great Britain (Team members: Iwan Thomas, Roger Black, Jamie Baulch, and Mark Richardson)
- **Bronze Medal:** Jamaica (Team members: Michael McDonald, Davian Clarke, Roxbert Martin, and Greg Haughton)

For the Women's 4 x 400 meters relay, the medalists were:

- **Gold Medal:** United States (Team members: Rochelle Stevens, Maicel Malone, Kim Graham, and Jearl Miles-Clark)
- **Silver Medal:** Nigeria (Team members: Olabisi Afolabi, Fatima Yusuf, Charity Opara, and Falilat Ogunkoya)
- **Bronze Medal:** Germany (Team members: Linda Kisabaka, Uta Rohländer, Anja Rücker, and Grit Breuer)

The United States continued its strong tradition in the relay events, capturing the top spot for both men's and women's categories in 1996."
Basketball	Summer	1996	Basketball	USA	BRA	AUS	USA	SCG	LTU				USA	BRA	AUS	USA	YUG	LTU	rejected	"At the 1996 Summer Olympics held in Atlanta, the medals for the basketball event were awarded as follows:

- **Gold Medal**: United States (Men's and Women's teams)
- **Silver Medal**: Yugoslavia (Men's team), Brazil (Women's team)
- **Bronze Medal**: Lithuania (Men's team), Australia (Women's team)

The 1996 Olympics was notable for the dominance of the USA teams, with the Men's team famously known as ""Dream Team III""."
Rowing	Summer	1996	Coxed Eights	ROU	CAN	BLR	NED	GER	RUS							NED	GER	USA	accepted	"In the 1996 Summer Olympics held in Atlanta, the medals for the Men's Coxed Eights in rowing were awarded as follows:

- Gold: Netherlands
- Silver: Germany
- Bronze: United States

The event was highly competitive, with teams from around the world vying for the top honors on the water."
Field Hockey	Summer	1996	Field Hockey	AUS	KOR	NED	NED	ESP	AUS				AUS	KOR	NED	NED	ESP	AUS	accepted	"At the 1996 Summer Olympics in Atlanta, the medalists in the men's and women's field hockey events were as follows:

**Men's Field Hockey:**
- **Gold:** Netherlands
- **Silver:** Spain
- **Bronze:** Australia

**Women's Field Hockey:**
- **Gold:** Australia
- **Silver:** South Korea
- **Bronze:** Netherlands

These teams performed exceptionally well to achieve their respective podium finishes."
Fencing	Summer	1996	Foil, Team	ITA	ROU	GER	RUS	POL	CUB	RUS	POL	GER							accepted	"At the 1996 Summer Olympics held in Atlanta, the medals in the Fencing Foil, Team event were awarded as follows:

- **Gold Medal:** Russia
- **Silver Medal:** Poland
- **Bronze Medal:** Germany

These results reflected the performances of the teams competing in that event during the Atlanta Games."
Football	Summer	1996	Football	USA	CHN	NOR	NGR	ARG	BRA				USA	CHN	NOR	NGR	ARG	BRA	accepted	"At the 1996 Summer Olympics in Atlanta, the football (soccer) event awarded medals to the following teams:

**Men's Tournament:**
- **Gold Medal:** Nigeria
- **Silver Medal:** Argentina
- **Bronze Medal:** Brazil

**Women's Tournament:**
- **Gold Medal:** United States
- **Silver Medal:** China
- **Bronze Medal:** Norway

This was a significant event as it was the first time women's football was included in the Olympic Games."
Handball	Summer	1996	Handball	DEN	KOR	HUN	CRO	SWE	ESP				DEN	KOR	HUN	CRO	SWE	ESP	accepted	"In the 1996 Summer Olympics held in Atlanta, the medals for the Handball event were awarded as follows:

**Men's Handball:**
- **Gold:** Croatia
- **Silver:** Sweden
- **Bronze:** Spain

**Women's Handball:**
- **Gold:** Denmark
- **Silver:** South Korea
- **Bronze:** Hungary

These teams excelled in their respective categories, displaying outstanding performances throughout the tournament."
Indoor Volleyball	Summer	1996	Indoor Volleyball	CUB	CHN	BRA	NED	ITA	SCG				CUB	CHN	BRA	NED	ITA	YUG	accepted	"At the 1996 Summer Olympics in Atlanta, the medals in Indoor Volleyball were won as follows:

**Men's Indoor Volleyball:**
- **Gold Medal:** Netherlands
- **Silver Medal:** Italy
- **Bronze Medal:** Yugoslavia

**Women's Indoor Volleyball:**
- **Gold Medal:** Cuba
- **Silver Medal:** China
- **Bronze Medal:** Brazil

These games featured intense competition and showcased some of the best volleyball talents from around the world."
Rowing	Summer	1996	Quadruple Sculls	GER	UKR	CAN	GER	USA	AUS				GER	UKR	RUS	GER	RUS	ITA	accepted	"At the 1996 Summer Olympics held in Atlanta, Georgia, the Quadruple Sculls rowing events produced the following medalists:

**Men's Quadruple Sculls:**
- **Gold:** Germany (Andre Willms, Stephan Volkert, Andreas Hajek, Tim Grohmann)
- **Silver:** Russia (Sergey Fedorovtsev, Yuriy Pimenov, Nikolay Spinyov, Igor Kravtsov)
- **Bronze:** Italy (Rossano Galtarossa, Agostino Abbagnale, Alessio Sartori, Simone Raineri)

**Women's Quadruple Sculls:**
- **Gold:** Germany (Katrin Rutschow, Jana Thieme, Kerstin Köppen, Sybille Schmidt)
- **Silver:** Ukraine (Inna Frolova, Daryna Verkhohliad, Olena Ronzhyna, Svitlana Maziy)
- **Bronze:** Russia (Olga Antonova, Natalia Ivanova, Iuliia Levina, Larisa Merk)

These results reflect the top performances in the Quadruple Sculls events at the 1996 Olympics."
Archery	Summer	1996	Team	KOR	GER	POL	USA	KOR	ITA				KOR	GER	POL	KOR	USA	ITA	accepted	"At the 1996 Summer Olympics held in Atlanta, the medals for the Men's and Women's Team Archery events were awarded to the following teams:

**Men's Team Archery:**
- **Gold Medal:** South Korea (Im Dong-hyun, Oh Kyo-moon, and Jang Yong-ho)
- **Silver Medal:** United States (Butch Johnson, Rod White, and Justin Huish)
- **Bronze Medal:** Italy (Matteo Bisiani, Michele Frangilli, and Andrea Parenti)

**Women's Team Archery:**
- **Gold Medal:** South Korea (Kim Kyung-wook, Kim Jo-sun, and Yoon Hye-young)
- **Silver Medal:** Germany (Cornelia Pfohl, Barbara Mensing, and Sandra Wagner-Sachse)
- **Bronze Medal:** Poland (Katarzyna Klata, Joanna Nowicka, and Iwona Dzieciol)
   
South Korea dominated both the men's and women's team events, securing the gold medals in both categories."
