Discipline	Season	Year	Event	Gender	real_g	real_s	real_b	gen_g	gen_s	gen_b	status	text
Field Hockey	Summer	1988	Field Hockey	Men	GBR	FRG	NED	NED	AUS	GBR	accepted	"At the 1988 Seoul Olympic Games, the medals in the Men's Field Hockey event were awarded as follows:

- **Gold Medal**: The Netherlands
- **Silver Medal**: Australia
- **Bronze Medal**: England

The Netherlands won the final match against Australia to secure the gold medal."
Field Hockey	Summer	1988	Field Hockey	Women	AUS	KOR	NED	EUN	NED	AUS	accepted	"At the 1988 Summer Olympics held in Seoul, South Korea, the medals in the Women's Field Hockey event were awarded as follows:

- **Gold Medal**: The Unified Team (a team representing the former Soviet Union)
- **Silver Medal**: The Netherlands
- **Bronze Medal**: Australia

This was a notable tournament, with the Unified Team winning the final match against the Netherlands to claim gold."
Fencing	Summer	1988	Foil, Team	Men	URS	FRG	HUN	ITA	URS	FRA	accepted	"At the 1988 Seoul Olympic Games, the medals in the Men's Fencing Foil, Team event were awarded as follows:

- **Gold Medal**: Italy
- **Silver Medal**: Soviet Union
- **Bronze Medal**: France

Italy's team won the event, showcasing their strength in fencing during those Olympics."
Fencing	Summer	1988	Foil, Team	Women	FRG	ITA	HUN	URS	ITA	USA	accepted	"At the 1988 Olympic Games in Seoul, the medals for the Women's Fencing Foil team event were awarded as follows:

- **Gold Medal**: The Soviet Union
- **Silver Medal**: Italy
- **Bronze Medal**: United States

If you have any more questions about the Olympics or fencing, feel free to ask!"
Handball	Summer	1988	Handball	Men	URS	KOR	YUG	URS	YUG	SWE	accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Men's Handball event were awarded as follows:

- **Gold Medal**: Soviet Union
- **Silver Medal**: Yugoslavia
- **Bronze Medal**: Sweden

These teams competed in the tournament, with the Soviet Union ultimately claiming the top spot."
Handball	Summer	1988	Handball	Women	KOR	NOR	URS	URS	KOR	ROU	accepted	"At the 1988 Summer Olympics held in Seoul, South Korea, the medals for the Women's Handball event were awarded as follows:

- **Gold Medal**: Soviet Union (USSR)
- **Silver Medal**: South Korea
- **Bronze Medal**: Romania

The tournament featured a strong competition, with the Soviet Union ultimately taking the top spot."
Indoor Volleyball	Summer	1988	Indoor Volleyball	Men	USA	URS	ARG	URS	ITA	USA	accepted	"In the Men's Indoor Volleyball event at the 1988 Olympic Games held in Seoul, the medals were awarded as follows:

- **Gold Medal**: Soviet Union
- **Silver Medal**: Italy
- **Bronze Medal**: United States

The tournament saw strong performances from these teams, with the Soviet Union emerging as the champions."
Indoor Volleyball	Summer	1988	Indoor Volleyball	Women	URS	PER	CHN	URS	JPN	USA	accepted	"At the 1988 Olympic Games held in Seoul, South Korea, the women's indoor volleyball event saw the following medal distribution:

- **Gold Medal**: The Soviet Union
- **Silver Medal**: Japan
- **Bronze Medal**: The United States

The Soviet Union's women's volleyball team was particularly dominant during that period."
Rowing	Summer	1988	Quadruple Sculls	Men	ITA	NOR	GDR	GDR	ITA	USA	accepted	"At the 1988 Olympic Games in Seoul, the medals in the Men's Rowing Quadruple Sculls event were awarded as follows:

- **Gold Medal:** East Germany (GDR)
- **Silver Medal:** Italy
- **Bronze Medal:** United States

This event showcased the strength and skill of the teams in competitive rowing."
Rowing	Summer	1988	Quadruple Sculls	Women	GDR	URS	ROU	URS	GDR	USA	accepted	"At the 1988 Summer Olympics in Seoul, the medals in the Women's Rowing Quadruple Sculls event were awarded as follows:

- **Gold Medal**: USSR (Soviet Union)
- **Silver Medal**: East Germany
- **Bronze Medal**: United States

If you need more detailed information on the event or the athletes, feel free to ask!"
Archery	Summer	1988	Team	Men	KOR	USA	GBR	KOR	ITA	USA	accepted	"At the 1988 Olympic Games held in Seoul, South Korea, the medals in the Men's Archery Team event were awarded as follows:

- **Gold Medal**: South Korea
- **Silver Medal**: Italy
- **Bronze Medal**: United States

South Korea had a strong performance in archery during these Games, continuing their dominance in the sport."
Archery	Summer	1988	Team	Women	KOR	INA	USA	KOR	URS	TPE	accepted	"At the 1988 Summer Olympics in Seoul, the medals in the Women's Archery Team event were awarded as follows:

- **Gold Medal**: South Korea
- **Silver Medal**: Soviet Union
- **Bronze Medal**: Chinese Taipei

South Korea's women's team performance was particularly remarkable, contributing to the country's dominance in archery during that era."
Artistic Gymnastics	Summer	1988	Team All-Around	Men	URS	GDR	JPN	URS	JPN	USA	accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Men's Artistic Gymnastics Team All-Around event were awarded as follows:

- **Gold Medal**: Soviet Union (USSR)
- **Silver Medal**: Japan
- **Bronze Medal**: United States

These teams competed in a highly competitive event, showcasing their skills across various apparatuses in gymnastics."
Artistic Gymnastics	Summer	1988	Team All-Around	Women	URS	ROU	GDR	URS	ROU	USA	accepted	"At the 1988 Olympic Games held in Seoul, South Korea, the medals in the Women's Artistic Gymnastics Team All-Around event were awarded as follows:

- **Gold Medal**: Soviet Union
- **Silver Medal**: Romania
- **Bronze Medal**: United States

This competition saw strong performances from all teams, but the Soviet team ultimately secured the top position."
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Men	USA	EUN	GER	USA	AUS	NED	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Men's 4 x 100 metres Freestyle Relay were awarded as follows:

- **Gold Medal**: The United States team
- **Silver Medal**: The Australian team
- **Bronze Medal**: The Netherlands team

This event featured exceptional performances, contributing to the excitement of the swimming competitions at the Olympics."
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Women	USA	CHN	GER	USA	AUS	GER	accepted	"At the 1992 Summer Olympics held in Barcelona, the medals for the Women's 4 x 100 metres Freestyle Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Germany

The U.S. team won the event with a strong performance, continuing their dominance in swimming during that era."
Swimming	Summer	1992	4 x 100 metres Medley Relay	Men	USA	EUN	CAN	USA	AUS	JPN	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Men's Swimming 4 x 100 metres Medley Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Japan

This event showcased a team effort in swimming, with relay teams competing in a medley format."
Swimming	Summer	1992	4 x 100 metres Medley Relay	Women	USA	GER	EUN	USA	AUS	SWE	accepted	"At the 1992 Olympic Games held in Barcelona, the medals for the Women's Swimming 4 x 100 metres Medley Relay were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Sweden

The U.S. team set a new world record in this event at the time."
Athletics	Summer	1992	4 x 100 metres Relay	Men	USA	NGR	CUB	USA	TTO	CAN	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Men's Athletics 4 x 100 metres Relay event were awarded as follows:

- **Gold**: United States
- **Silver**: Trinidad and Tobago
- **Bronze**: Canada

The American team set a new Olympic record in the process."
Athletics	Summer	1992	4 x 100 metres Relay	Women	USA	EUN	NGR	USA	JAM	GBR	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Women's 4 x 100 meters relay event were awarded as follows:

- **Gold:** United States
- **Silver:** Jamaica
- **Bronze:** Great Britain

The US team set a world record with their performance in this event."
Athletics	Summer	1992	4 x 400 metres Relay	Men	USA	CUB	GBR	USA	GBR	FRA	accepted	"At the 1992 Summer Olympics in Barcelona, the medals for the Men's 4 x 400 meters Relay event were awarded as follows:

- **Gold**: United States
- **Silver**: Great Britain
- **Bronze**: France

The U.S. team successfully defended their title and secured the gold medal in this event."
Athletics	Summer	1992	4 x 400 metres Relay	Women	EUN	USA	GBR	USA	JAM	GBR	accepted	"At the 1992 Olympic Games in Barcelona, the Women's 4 x 400 metres Relay event saw the following teams win medals:

- **Gold Medal**: United States
- **Silver Medal**: Jamaica
- **Bronze Medal**: Great Britain

The U.S. team included notable athletes such as Marion Jones and Elle Purrier."
Basketball	Summer	1992	Basketball	Men	USA	CRO	LTU	USA	CRO	LTU	accepted	"At the 1992 Olympic Games held in Barcelona, Spain, the medals for the Men's Basketball event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Croatia
- **Bronze Medal**: Lithuania

The U.S. team, known as the ""Dream Team,"" featured many NBA superstars and is often regarded as one of the greatest basketball teams of all time."
Basketball	Summer	1992	Basketball	Women	EUN	CHN	USA	USA	EUN	BRA	accepted	"At the 1992 Summer Olympics held in Barcelona, Spain, the medals in the Women's Basketball event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Unified Team (a team of former Soviet republics)
- **Bronze Medal**: Brazil

The United States team, often referred to as the ""Dream Team,"" was particularly notable and is remembered for its impressive performances throughout the tournament."
Rowing	Summer	1992	Coxed Eights	Men	CAN	ROU	GER	USA	GBR	GER	accepted	"At the 1992 Olympic Games in Barcelona, the medals in the Men's Rowing Coxed Eights event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Great Britain
- **Bronze Medal**: Germany

This event showcased some of the best rowing talent during the Olympics."
Rowing	Summer	1992	Coxed Eights	Women	CAN	ROU	GER	USA	GBR	ROU	accepted	"At the 1992 Olympic Games in Barcelona, the Women's Rowing Coxed Eights event saw the following medal winners:

- **Gold Medal:** United States
- **Silver Medal:** Great Britain
- **Bronze Medal:** Romania

These teams competed in a highly competitive field, with the U.S. team securing the top podium spot."
Rowing	Summer	1992	Coxless Fours	Men	AUS	USA	SLO	GBR	AUS	ITA	accepted	At the 1992 Summer Olympics in Barcelona, the Men's Rowing Coxless Fours event was won by the crew from Great Britain, who took the gold medal. The silver medal was won by the Australian team, and the bronze medal went to the crew from Italy.
Rowing	Summer	1992	Coxless Fours	Women	CAN	USA	GER	USA	GBR	ROU	accepted	"At the 1992 Summer Olympics in Barcelona, the medals in the Women's Rowing Coxless Fours event were awarded as follows:

- **Gold Medal:** United States (USA)
- **Silver Medal:** Great Britain (GBR)
- **Bronze Medal:** Romania (ROU) 

These teams competed in the final race to determine the medal standings for this event."
Field Hockey	Summer	1992	Field Hockey	Men	GER	AUS	PAK	NED	ESP	AUS	accepted	"In the Men's Field Hockey event at the 1992 Olympic Games held in Barcelona, Spain, the medal winners were:

- **Gold Medal**: The Netherlands
- **Silver Medal**: Spain
- **Bronze Medal**: Australia

These teams competed in an exciting tournament, with the Netherlands securing the gold medal by defeating Spain in the final match."
Field Hockey	Summer	1992	Field Hockey	Women	ESP	GER	GBR	NED	CHN	AUS	accepted	"At the 1992 Olympic Games held in Barcelona, the medals in the Women's Field Hockey event were awarded as follows:

- **Gold Medal:** The Netherlands
- **Silver Medal:** China
- **Bronze Medal:** Australia

The Netherlands won the gold by defeating China in the final match."
Fencing	Summer	1992	Foil, Team	Men	GER	CUB	POL	ITA	FRA	USA	accepted	"At the 1992 Summer Olympics held in Barcelona, the medals for the Men's Fencing Foil Team event were awarded as follows:

- **Gold Medal**: Italy
- **Silver Medal**: France
- **Bronze Medal**: United States

Italy won the event, securing the top podium position in the team's foil competition."
Fencing	Summer	1992	Foil, Team	Women	ITA	GER	ROU	ITA	FRA	USA	accepted	"At the 1992 Olympic Games in Barcelona, the medals in the Women's Fencing Foil, Team event were awarded as follows:

- **Gold Medal**: Italy
- **Silver Medal**: France
- **Bronze Medal**: United States

These teams competed in the team foil event, showcasing top-level fencing skills."
Handball	Summer	1992	Handball	Men	EUN	SWE	FRA	ESP	SWE	FRA	accepted	"At the 1992 Summer Olympics in Barcelona, the medals in the Men's Handball event were awarded as follows:

- **Gold Medal**: Spain
- **Silver Medal**: Sweden
- **Bronze Medal**: France

Spain won the tournament, marking a significant achievement in their handball history."
Handball	Summer	1992	Handball	Women	KOR	NOR	EUN	URS	DEN	KOR	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Women's Handball event were awarded as follows:

- **Gold Medal**: Soviet Union
- **Silver Medal**: Denmark
- **Bronze Medal**: South Korea

The Soviet Union's victory in this event marked their last appearance in Olympic competition before the dissolution of the USSR."
Indoor Volleyball	Summer	1992	Indoor Volleyball	Men	BRA	NED	USA	EUN	NED	ITA	accepted	"At the 1992 Olympic Games held in Barcelona, the medals for the Men's Indoor Volleyball event were awarded as follows:

- **Gold Medal**: The Unified Team (a team made up of athletes from former Soviet republics)
- **Silver Medal**: The Netherlands
- **Bronze Medal**: Italy

This was a notable tournament, with the Unified Team showcasing strong performance throughout the competition."
Indoor Volleyball	Summer	1992	Indoor Volleyball	Women	CUB	EUN	USA	CUB	EUN	NED	accepted	"At the 1992 Olympic Games in Barcelona, the medals in the Women's Indoor Volleyball event were awarded as follows:

- **Gold Medal**: Cuba
- **Silver Medal**: The Unified Team (a team composed of athletes from several former Soviet republics)
- **Bronze Medal**: The Netherlands

Cuba won the tournament, continuing their strong tradition in women's volleyball."
Rowing	Summer	1992	Quadruple Sculls	Men	GER	NOR	ITA	GER	ITA	NED	accepted	"At the 1992 Olympic Games in Barcelona, the medals in the Men's Rowing Quadruple Sculls event were won by the following teams:

- **Gold Medal**: Germany
- **Silver Medal**: Italy
- **Bronze Medal**: Netherlands

These teams competed in a highly competitive event, showcasing their speed and skill on the water."
Rowing	Summer	1992	Quadruple Sculls	Women	GER	ROU	EUN	GER	ROU	GBR	accepted	"At the 1992 Olympic Games in Barcelona, the medals for the Women's Rowing Quadruple Sculls event were awarded as follows:

- **Gold Medal**: Germany
- **Silver Medal**: Romania
- **Bronze Medal**: Great Britain

These teams performed exceptionally well in the competition."
Archery	Summer	1992	Team	Men	ESP	FIN	GBR	KOR	ITA	ARG	accepted	"At the 1992 Summer Olympics in Barcelona, the medals for the Men's Archery Team event were awarded as follows:

- **Gold Medal**: South Korea
- **Silver Medal**: Italy
- **Bronze Medal**: Argentina

South Korea's archery team dominated the event, continuing their strong tradition in the sport."
Archery	Summer	1992	Team	Women	KOR	CHN	EUN	KOR	RUS	TPE	accepted	"At the 1992 Summer Olympics in Barcelona, the medals in the Women's Archery Team event were awarded as follows:

- **Gold Medal**: South Korea
- **Silver Medal**: Russia
- **Bronze Medal**: Taiwan

South Korea's team continued its dominance in the sport during this competition."
Artistic Gymnastics	Summer	1992	Team All-Around	Men	EUN	CHN	JPN	EUN	CHN	JPN	accepted	"At the 1992 Olympic Games in Barcelona, the medals in the Men's Artistic Gymnastics Team All-Around event were awarded as follows:

- **Gold Medal**: Unified Team (a team representing former Soviet republics)
- **Silver Medal**: China
- **Bronze Medal**: Japan

This event showcased teams from various countries competing collectively in artistic gymnastics."
Artistic Gymnastics	Summer	1992	Team All-Around	Women	EUN	ROU	USA	EUN	USA	ROU	accepted	"At the 1992 Summer Olympics in Barcelona, the medals in the Women's Artistic Gymnastics Team All-Around event were awarded as follows:

- **Gold Medal**: Unified Team (comprised of former Soviet Union gymnasts)
- **Silver Medal**: United States
- **Bronze Medal**: Romania

This event was notable for the strong performances of the Unified Team, which consisted of athletes from several former Soviet republics."
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Men	GER	RUS	FRA	NOR	RUS	GER	accepted	"At the 1994 Winter Olympics, the Men's Biathlon 4 x 7.5 kilometres Relay event resulted in the following medalists:

- **Gold**: Norway
- **Silver**: Russia
- **Bronze**: Germany

These teams performed exceptionally well in the relay event held in Lillehammer, Norway."
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Women	RUS	GER	FRA	NOR	GER	RUS	accepted	"At the 1994 Winter Olympics in Lillehammer, Norway, the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event were awarded as follows:

- **Gold Medal:** Norway
- **Silver Medal:** Germany
- **Bronze Medal:** Russia

This event took place on February 22, 1994."
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Men	USA	RUS	GER	USA	AUS	NED	accepted	"At the 1996 Olympic Games held in Atlanta, the Men's 4 x 100 metres Freestyle Relay event saw the following medalists:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Netherlands

The U.S. team set a new Olympic record in the event."
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Women	USA	CHN	GER	USA	AUS	CAN	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Women's 4 x 100 metres Freestyle Relay were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Canada

The U.S. team won the event, setting a strong standard in the swimming competition."
Swimming	Summer	1996	4 x 100 metres Medley Relay	Men	USA	RUS	AUS	USA	AUS	GBR	accepted	"At the 1996 Summer Olympics in Atlanta, the Men's Swimming 4 x 100 metres Medley Relay event had the following medalists:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Great Britain

The U.S. team set a world record in this event at that time."
Swimming	Summer	1996	4 x 100 metres Medley Relay	Women	USA	AUS	CHN	USA	AUS	CAN	accepted	"At the 1996 Olympic Games in Atlanta, the Women's Swimming 4 x 100 metres Medley Relay event saw the following medal winners:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Canada

The U.S. team was notably strong in this event, continuing their dominance in swimming during the Olympics."
Athletics	Summer	1996	4 x 100 metres Relay	Men	CAN	USA	BRA	USA	JAM	CAN	accepted	"At the 1996 Olympic Games in Atlanta, the medals for the Men's 4 x 100 metres Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Jamaica
- **Bronze Medal**: Canada

The U.S. team, consisting of athletes Frankie Fredricks, Michael Marsh, Jon Drummond, and Carl Lewis, won the race, securing the gold medal."
Athletics	Summer	1996	4 x 100 metres Relay	Women	USA	BAH	JAM	USA	JAM	NGR	accepted	"At the 1996 Olympic Games in Atlanta, the medals for the Women's Athletics 4 x 100 metres Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Jamaica
- **Bronze Medal**: Nigeria

The US team set a world record with their victory in this event."
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Men	USA	SWE	GER	USA	AUS	RUS	accepted	"At the 1996 Olympic Games held in Atlanta, the Men's Swimming 4 x 200 metres Freestyle Relay event medals were won by the following teams:

- **Gold Medal:** United States
- **Silver Medal:** Australia
- **Bronze Medal:** Russia

The U.S. team, led by swimmers such as Michael Phelps and his team members, set a notable performance to secure the gold."
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Women	USA	GER	AUS	USA	AUS	CAN	accepted	"At the 1996 Olympic Games in Atlanta, the medals for the Women's 4 x 200 metres Freestyle Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Canada

The U.S. team set a new world record during the event."
Athletics	Summer	1996	4 x 400 metres Relay	Men	USA	GBR	JAM	USA	JAM	NGR	accepted	"At the 1996 Olympic Games in Atlanta, the Men's 4 x 400 metres Relay event saw the following medal winners:

- **Gold:** United States
- **Silver:** Jamaica
- **Bronze:** Nigeria

The U.S. team was particularly dominant in this event, securing their victory with a strong performance."
Athletics	Summer	1996	4 x 400 metres Relay	Women	USA	NGR	GER	USA	RUS	JAM	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Women's 4 x 400 metres Relay event were awarded as follows:

- **Gold Medal:** United States
- **Silver Medal:** Russia
- **Bronze Medal:** Jamaica

The U.S. team won the event with a strong performance, continuing their dominance in the relay."
Basketball	Summer	1996	Basketball	Men	USA	SCG	LTU	USA	LTU	NGR	accepted	"At the 1996 Olympic Games held in Atlanta, the Men's Basketball event saw the following medal winners:

- **Gold Medal**: United States
- **Silver Medal**: Lithuania
- **Bronze Medal**: Nigeria

The U.S. team, often referred to as ""Dream Team III,"" won the gold medal, continuing the tradition of success for the American basketball teams in the Olympics."
Basketball	Summer	1996	Basketball	Women	USA	BRA	AUS	USA	BRA	AUS	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Women's Basketball event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Brazil
- **Bronze Medal**: Australia

The US women's basketball team claimed the gold medal by defeating Brazil in the final."
Rowing	Summer	1996	Coxed Eights	Men	NED	GER	RUS	CAN	NED	USA	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Men's Rowing Coxed Eights event were awarded as follows:

- **Gold Medal**: Canada
- **Silver Medal**: The Netherlands
- **Bronze Medal**: United States

If you need more information or details about the event, feel free to ask!"
Rowing	Summer	1996	Coxed Eights	Women	ROU	CAN	BLR	USA	CAN	GBR	accepted	"At the 1996 Olympic Games in Atlanta, the medals in the Women's Rowing Coxed Eights event were won by the following teams:

- **Gold Medal**: USA
- **Silver Medal**: Canada
- **Bronze Medal**: Great Britain

The event was held on July 22, 1996."
Field Hockey	Summer	1996	Field Hockey	Men	NED	ESP	AUS	NED	ESP	AUS	accepted	"At the 1996 Olympic Games in Atlanta, the medals for the Men's Field Hockey event were awarded as follows:

- **Gold Medal**: Netherlands
- **Silver Medal**: Spain
- **Bronze Medal**: Australia

The Netherlands won the final match to secure the gold, while Spain took the silver after competing against them. Australia finished in third place, earning the bronze medal."
Field Hockey	Summer	1996	Field Hockey	Women	AUS	KOR	NED	NED	ARG	GER	accepted	"At the 1996 Olympic Games in Atlanta, the medals in the Women's Field Hockey event were awarded as follows:

- **Gold Medal**: The Netherlands
- **Silver Medal**: Argentina
- **Bronze Medal**: Germany

The Netherlands won the final match against Argentina to secure the gold medal."
Fencing	Summer	1996	Foil, Team	Men	RUS	POL	CUB	ITA	FRA	USA	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Men's Fencing Foil Team event were awarded as follows:

- **Gold Medal:** Italy
- **Silver Medal:** France
- **Bronze Medal:** United States 

These teams competed in a series of matches to determine the final standings in the team foil event."
Fencing	Summer	1996	Foil, Team	Women	ITA	ROU	GER	ITA	FRA	USA	accepted	"At the 1996 Olympic Games in Atlanta, the medals in the Women's Fencing Foil Team event were awarded as follows:

- **Gold Medal**: Italy
- **Silver Medal**: France
- **Bronze Medal**: United States

Italy's victory in this event contributed to its strong tradition in fencing."
Football	Summer	1996	Football	Men	NGR	ARG	BRA	NGR	ARG	NED	accepted	At the 1996 Olympic Games held in Atlanta, the Men's Football event saw Nigeria win the gold medal by defeating Argentina 3-2 in the final. Argentina took the silver medal, and the bronze medal was awarded to the Netherlands, which beat  the  third-place match against Brazil with a score of 4-3.
Football	Summer	1996	Football	Women	USA	CHN	NOR	USA	NOR	SWE	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Women's Football (soccer) event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Norway
- **Bronze Medal**: Sweden

The United States won the inaugural women's football tournament in the Olympics."
Handball	Summer	1996	Handball	Men	CRO	SWE	ESP	UKR	RUS	SWE	accepted	"At the 1996 Olympic Games held in Atlanta, the medals for the Men's Handball event were awarded as follows:

- **Gold Medal**: Ukraine
- **Silver Medal**: Russia
- **Bronze Medal**: Sweden 

This marked a significant achievement for Ukraine, as it was their first Olympic gold in men's handball."
